Brand No.,Horse Name,Date,Details,Passed On
D047,TRUE LEGEND,04/05/2022,Unacceptable performance.,19/05/2022
,,05/06/2022,Rider concern horse's actions at the Start. Lame left fore. Withdrawn from race.,14/06/2022
,,05/03/2023,Substantial mucus in trachea noted on post-race scoping.,-
D056,SAVVY NINE,11/12/2022,Unacceptable performance.,29/12/2022
D085,SUPER OASIS,12/11/2022,Unacceptable performance.,24/11/2022
D087,FIRE BALL,01/02/2023,Heart irregularity noted after racing.,27/02/2023
D105,BELUGA,05/03/2023,Swollen left front fetlock. Withdrawn from racing.,-
D108,SUPER WEALTHY,30/05/2022,Surgery to lower jaw.,15/08/2022
,,20/11/2022,Substantial blood in trachea noted on post-race scoping.,02/12/2022
,,24/03/2023,Colic surgery.,-
D111,MARVEL DRAGON,18/05/2022,Lame right fore.,26/08/2022
D124,EL VALIENTE,05/05/2022,Noted lame right fore on the day after racing.,20/05/2022
,,06/09/2022,Arthroscopic surgery to both fore fetlocks (bone fragment removal).,03/01/2023
D128,SUPERBELLA,02/04/2023,Unacceptable performance.,-
D138,TOTAL POWER,24/06/2022,Lame right fore.,31/08/2022
D161,ULTRA EXPRESS,12/01/2023,Lame right fore.,08/02/2023
,,11/03/2023,Substantial blood in trachea noted on post-race scoping.,01/04/2023
D172,KURPANY,22/07/2022,Head injury.,26/10/2022
,,21/02/2023,Left fore ligament injury.,-
D176,WELLINGTON,21/11/2022,Lame right hind leg on the day after racing.,03/12/2022
D186,STRIVE FOR GLORY,06/03/2023,Inappetence. Withdrawn from racing.,16/03/2023
D187,THE ROCK,24/05/2022,Left hind tibial injury.,11/10/2022
,,05/01/2023,Colic. Withdrawn from racing.,12/01/2023
D191,GLORIOUS LOVER,05/10/2022,Unacceptable performance.,14/10/2022
D198,PRECISE EXPRESS,24/04/2022,Unacceptable performance.,10/05/2022
,,24/12/2022,Unacceptable performance.,30/01/2023
D216,SKY FIELD,25/03/2023,Lame right fore. Update: Arthroscopic surgery to right fore fetlock.,-
D225,REGENCY MASTER,30/10/2022,Unacceptable performance.,21/11/2022
D228,GOOD LUCK FRIEND,14/09/2022,Right fore suspensory ligament injury.,-
,,21/02/2023,Right fore ligament reinjury.,-
D231,DAY DAY RICH,12/10/2022,Substantial blood in trachea noted on post-race scoping.,04/11/2022
,,08/03/2023,Substantial blood in trachea noted on post-race scoping.,24/03/2023
D235,SUPERB DADDY,29/03/2023,Substantial mucus in trachea noted on post-race scoping.,-
D249,SMART COUSIN,21/09/2022,Unacceptable performance.,13/10/2022
,,16/03/2023,Lame right front leg on the day after racing.,-
D258,SO AWESOME,10/06/2022,Right hind fetlock injury. Update: Surgery to repair right hind fetlock injury.,22/12/2022
D273,SUNNY STAR,14/04/2022,Castration.,-
,,12/10/2022,Lame right fore.,30/03/2023
D280,DECISIVE TWELVE,01/04/2023,Lame left fore. Withdrawn from racing.,-
D281,MILLENNIUM FALCON,29/05/2022,Substantial mucus in trachea noted on post-race scoping.,-
,,13/01/2023,Substantial mucus in trachea noted on scoping. Withdrawn from racing.,24/01/2023
,,05/02/2023,Substantial mucus in trachea noted on post-race scoping.,-
D285,VALIANT ELEGANCE,12/10/2022,Substantial mucus in trachea noted on post-race scoping.,-
D307,VIVA POPCORN,05/08/2022,Lame right fore.,25/10/2022
,,22/02/2023,"After being loaded into the barriers, reared and got its right front leg over the partition for a considerable period. Withdrawn from racing.",07/03/2023
D311,MAXIMIZE HEART,24/04/2022,Unacceptable performance.,03/05/2022
D314,THE BEST HERO,11/07/2022,Left fore pedal bone reinjury.,17/02/2023
D321,DELIGHTFUL LAOS,21/12/2022,Epiglottic entrapment.,14/03/2023
,,09/01/2023,Throat surgery to correct an airway abnormality (release epiglottic entrapment).,14/03/2023
D331,JOLLY FOREVER,12/07/2022,Left hind hoof injury.,23/09/2022
D350,SUPER COMMANDER,01/06/2022,Substantial blood in trachea noted on post-race scoping.,23/08/2022
D356,AMAZING ROCKY,01/07/2022,Substantial blood in trachea noted on post-race scoping.,25/08/2022
,,16/10/2022,Substantial blood in trachea noted on post-race scoping.,02/11/2022
D359,GALLANT CROWN,17/05/2022,Inappetence.,02/06/2022
D362,SUPER TEN,07/10/2022,Lame left hind.,-
,,28/02/2023,Heart irregularity noted after trackwork.,-
D364,ALL JOYFUL,22/03/2023,Lame right hind.,-
D367,EXCEPTIONAL NICE,20/04/2022,Unacceptable performance.,17/05/2022
,,28/12/2022,Unacceptable performance.,13/01/2023
,,13/03/2023,Right fore tendon injury.,-
D371,FORTUNE MASTER,21/07/2022,Medical treatment for a bone condition.,27/08/2022
,,07/12/2022,Lame left front leg.,10/01/2023
,,26/03/2023,Unacceptable performance and substantial blood in trachea noted on post-race scoping.,-
D381,ENTRUSTED,06/06/2022,Fever.,16/06/2022
D387,METRO WARRIOR,15/01/2023,Lame left hind leg.,27/01/2023
D397,ABOVE ALL,30/01/2023,Wound to left front leg. Withdrawn from racing.,14/02/2023
D405,TELECOM CHEETAH,13/07/2022,"Was fractious when being transported to Happy Valley, sustained a large wound to the base of tail. Withdrawn from race.",30/01/2023
,,09/09/2022,Failed vet exam: Right fore tendon injury.,30/01/2023
D407,SURE WIN WIN,30/10/2022,Substantial blood in trachea noted on post-race scoping.,16/11/2022
,,04/01/2023,Substantial blood in trachea noted on post-race scoping.,23/02/2023
D409,AUGUST MOON,04/06/2022,Fever.,20/06/2022
,,30/01/2023,Arthroscopic surgery to left knee (bone fragment removal).,-
D414,UNTOLD RICHES,25/06/2022,Substantial blood in trachea noted on post-race scoping.,22/09/2022
,,15/11/2022,Lame right fore. Update: Right front cannon bone injury.,-
,,18/11/2022,Right fore fetlock surgery.,-
D415,ZONE D,23/11/2022,Substantial blood in trachea noted on post-race scoping.,22/12/2022
,,08/12/2022,Failed vet exam: Substantial blood in trachea noted after gallop.,22/12/2022
D416,SAVVY KINGMAN,10/04/2022,Unacceptable performance.,28/04/2022
,,21/01/2023,Rider concerned horse's action during racing.,08/02/2023
D419,LEGION OF MERIT,22/02/2023,Lame left fore. Withdrawn from racing.,07/03/2023
D426,TEMPEST EXPRESS,08/01/2023,Rider concerned horse's action during racing.,17/01/2023
D443,MULTIMORE,01/12/2022,Lame right front leg on the day after racing. Update: Right fore humeral stress injury.,04/04/2023
D454,FARIBAULT,21/04/2022,Reported lame right fore on the day after racing. Update: Right knee injury.,16/09/2022
,,26/04/2022,Arthroscopic surgery to right knee (Bone fragment removal).,16/09/2022
D458,INDIGENOUS REALM,25/03/2023,Wound to right hind leg. Withdrawn from racing.,-
D460,HELENE WISDOM STAR,09/10/2022,Rider concerned horse's action during racing.,18/10/2022
D464,OUR CREED,08/02/2023,Substantial mucus in trachea noted on post-race scoping.,-
,,22/03/2023,Unacceptable performance.,-
D465,SUPER FOOTBALL,21/02/2023,Unraced for 12 months.,-
D474,CIRCUIT SEVEN,10/05/2022,Heart irregularity noted during pre-race vet inspection.,28/05/2022
D476,IMA SINGLE MAN,07/05/2022,Unacceptable performance.,01/09/2022
D482,TELECOM FIGHTERS,10/10/2022,Fever.,25/10/2022
,,05/03/2023,Substantial mucus in trachea noted on post-race scoping.,-
D487,SIGHT HERO,06/05/2022,"Throat surgery to correct ""roaring' condition (tieback and hobday).",16/08/2022
D489,CARROLL STREET,06/06/2022,Noted lame left fore on the day after racing.,22/12/2022
D491,MISTER ARM,03/01/2023,Lame right hind. Withdrawn from racing.,27/01/2023
D498,FORTE,13/07/2022,"Surgery under general anesthesia to correct a ""roaring"" condition.",04/11/2022
,,07/02/2023,Lame left fore. Withdrawn from racing.,17/02/2023
,,02/04/2023,Substantial mucus in trachea noted on post-race scoping. Lame left hind leg on the day after racing.,-
D505,FAMILY FOLKS,15/11/2022,Lame right fore.,29/12/2022
E004,MY ECSTATIC,24/12/2022,Substantial blood in trachea noted on post-race scoping.,17/01/2023
E009,LIGHT OF WANSHI,29/05/2022,Unacceptable performance.,21/06/2022
,,10/12/2022,Left fore tendon injury.,-
E017,GRAND POWER,30/11/2022,Heart irregularity and bled from both nostrils after racing.,-
E031,THIS IS GUTS,19/04/2022,Failed vet exam: Lame left fore after gallop.,07/06/2022
,,01/01/2023,"Substantial mucus in trachea noted on post-race scoping and also found to be a ""roarer"".",-
E038,GEM OF SOUTH CHINA,05/10/2022,Unacceptable performance.,25/10/2022
,,05/03/2023,Unacceptable performance.,-
E045,CALIFORNIA TEN,12/06/2022,Returned lame right fore after racing.,27/06/2022
E054,TOURBILLON DIAMOND,25/04/2022,Reported lame right hind on the day after racing.,05/05/2022
E057,CHATER PINS,16/07/2022,Heart irregularity noted after racing.,24/08/2022
,,22/03/2023,Bled from both nostrils after racing.,-
E058,BEAUTY JOY,14/03/2023,Heart irregularity noted during pre-race vet inspection. Withdrawn from racing.,28/03/2023
E061,HARMONY N BLESSED,01/08/2022,Right fore fetlock injury. Update: Surgery to right fore fetlock.,02/12/2022
E065,FREE FOAL,07/12/2022,Bled from both nostrils after racing.,02/03/2023
,,23/02/2023,Failed vet exam: Lame left fore.,02/03/2023
,,22/03/2023,Left humeral bone injury.,-
E066,LITTLE PLAYER,12/06/2022,Substantial mucus in trachea noted on post-race scoping.,-
,,21/07/2022,Medical treatment for a bone condition.,03/09/2022
,,04/03/2023,Wound to right hind pastern. Withdrawn from racing.,-
E075,ICE LEGEND,08/12/2022,Right fore ligament injury.,09/03/2023
,,27/03/2023,Right fore ligament injury.,-
E090,CHARITY GRACE,10/01/2023,Bled from both nostrils after barrier trial.,-
E093,LEISURE AND GOLD,25/04/2022,Unraced for 12 months.,28/04/2022
E100,STORMTROUPER,29/03/2023,Substantial mucus in trachea noted on post-race scoping.,-
,,31/03/2023,Coughing and mucus on scoping after trackwork. Withdrawn from racing.,-
E105,SUPER AXIOM,27/02/2023,Wound to left hind leg.,16/03/2023
E116,BAEBAE TSOI,13/04/2022,Bled from both nostrils after racing.,29/08/2022
,,23/11/2022,Substantial blood in trachea noted on post-race scoping.,30/12/2022
,,12/12/2022,Failed vet exam: Substantial blood in trachea noted after gallop.,30/12/2022
,,15/01/2023,Unacceptable performance.,02/02/2023
,,19/03/2023,Unacceptable performance. (Second consecutive occasion),-
E118,SPICY SO GOOD,29/06/2022,Right hind fetlock bone injury.,-
,,05/10/2022,Lame right fore.,-
,,13/02/2023,Unraced for 12 months.,-
,,04/04/2023,Failed vet exam: Lame right front.,-
E130,LOYAL BABY,15/09/2022,Noted lame right front leg on the day after racing.,30/09/2022
E132,LET'S DO IT,15/03/2023,Bled from both nostrils after racing.,-
E138,NOIR RIDER,06/07/2022,Substantial mucus in trachea noted on post-race scoping.,-
,,05/10/2022,Laceration to right hind leg. Withdrawn from race.,01/12/2022
,,18/01/2023,Substantial mucus in trachea noted on post-race scoping.,-
E139,AI ONE,25/05/2022,Unacceptable performance.,29/09/2022
E144,ACA POWER,22/06/2022,Heart irregularity noted after racing.,13/09/2022
E147,A LA KING,04/05/2022,Bled from both nostrils after racing.,20/10/2022
,,17/11/2022,Colic surgery.,-
E149,H Z TOURBILLON,14/09/2022,Substantial blood in trachea noted on post-race scoping.,29/09/2022
,,15/03/2023,Substantial blood in trachea noted on post-race scoping.,-
E151,CHIRON,09/10/2022,Unacceptable performance.,21/10/2022
,,07/11/2022,Lame left fore.,30/12/2022
E156,NOBLE BOYZ,15/04/2022,Bone and ligament injury to left front foot.,17/01/2023
,,29/08/2022,Right pelvis injury.,17/01/2023
E158,KOWLOON EAST STAR,12/07/2022,Head wound.,02/09/2022
,,22/11/2022,Lame left fore.,15/12/2022
,,22/03/2023,Bled from both nostrils after racing.,-
E166,SUNNY BABY,24/06/2022,Lame left hind.,16/08/2022
,,06/07/2022,Lame right fore.,16/08/2022
E175,HARMONY FIRE,28/04/2022,Reported lame left hind and right fore on the day after racing.,15/09/2022
,,06/05/2022,Right fore ligament injury.,15/09/2022
E176,CONCERTO,18/01/2023,Bled from both nostrils after racing.,-
E177,EVERYONE'S VICTORY,31/01/2023,Lame left hind. Withdrawn from racing.,09/02/2023
E178,WINNER METHOD,10/07/2022,"On jumping reared abruptly, got its front legs caught in overhead barrier structure and took no part in the race. Sustained a laceration to left front heel.",30/08/2022
,,09/10/2022,Substantial blood in trachea noted on post-race scoping.,28/10/2022
,,15/01/2023,Substantial blood in trachea noted on post-race scoping.,03/02/2023
E179,RUN DES RUN,26/01/2023,Right tibial bone injury.,-
E184,MEGA BONUS,24/04/2022,Wounds both hind legs and muscle injury.,20/05/2022
E187,FORTUNE CARRIER,15/05/2022,Substantial blood in trachea noted on post-race scoping.,16/06/2022
,,11/07/2022,Exploratory surgery under general anesthesia.,27/10/2022
E188,CHIU CHOW BROTHER,28/12/2022,Blood abnormality. Withdrawn from racing.,15/02/2023
E194,ARTHUR'S KINGDOM,25/11/2022,Right front suspensory ligament injury.,-
E203,MAJESTIC STAR,29/04/2022,Lame left fore.,26/08/2022
,,04/12/2022,Bled from both nostrils after racing.,14/02/2023
E205,SUPER BUDDY,30/11/2022,Bled from both nostrils after racing.,03/03/2023
E208,GOODMANSHIP,13/10/2022,Lame right front leg on the day after racing.,16/02/2023
E217,KA YING SPIRIT,25/09/2022,Substantial blood in trachea noted on post-race scoping.,18/10/2022
,,07/03/2023,Left fore cannon bone injury.,-
E218,COPARTNER AMBITION,27/11/2022,Unacceptable performance.,08/12/2022
E220,GOLD GOLD BABY,01/02/2023,Unacceptable performance.,28/02/2023
E222,HK DRAGON,08/11/2022,Lame left fore.,02/02/2023
E223,STOICISM,05/10/2022,Heart irregularity noted after racing.,21/10/2022
E230,MEANINGFUL STAR,19/08/2022,Left fore ligament injury.,30/12/2022
E240,TRILLION WIN,11/09/2022,Bled from both nostrils after racing.,28/11/2022
E248,FORTUNE WINNER,12/11/2022,Substantial mucus in trachea noted on post-race scoping.,-
E250,POLYMER GLORIOUS,06/06/2022,Failed vet exam: Substantial mucopus on scope after barrier trial.,18/11/2022
,,14/11/2022,Unraced for 12 months.,18/11/2022
E255,FIGHTING STAR,19/06/2022,Substantial blood in trachea noted on post-race scoping and was subsequently reported to have bled from both nostrils.,22/09/2022
E262,RED IMPACT,14/06/2022,Bled from right nostril after trackwork.,09/09/2022
,,21/12/2022,Heart irregularity after finishing its clinical examination.,14/03/2023
E264,PACKING AWARD,07/12/2022,Unacceptable performance.,30/12/2022
,,08/02/2023,Unacceptable performance. Substantial blood in trachea noted on post-race scoping.,10/03/2023
E269,FANTASTIC TREASURE,29/05/2022,Rider concerned horse's action during racing.,07/06/2022
E273,ESCAPE ROUTE,01/06/2022,Sustained laceration to right hind cannon in holding stalls.,06/06/2022
E275,YO BEAUTY,09/03/2023,Lame left front leg on the day after racing.,-
E283,PRIDE OF DRAGON,19/06/2022,"Unacceptable performance, substantial blood in trachea noted on post-race scoping.",27/09/2022
,,19/08/2022,Medical treatment for a bone condition.,27/09/2022
,,11/03/2023,Bled from both nostrils after racing.,-
E284,SHENRON,16/11/2022,Unacceptable performance. Substantial blood in trachea noted on post-race scoping.,02/12/2022
,,15/02/2023,Substantial blood in trachea noted on post-race scoping.,28/03/2023
E287,TRADER,10/06/2022,Fractious whilst being transported back to Hong Kong.,16/06/2022
,,29/01/2023,Unacceptable performance.,10/02/2023
E288,TREASURE OF FIELD,02/06/2022,Reported lame left fore on the day after racing. Update: Left fore fetlock injury.,14/11/2022
,,13/06/2022,Left fore fetlock surgery.,14/11/2022
E289,WINNING DELAGO,09/06/2022,Unraced for 12 months.,-
E296,FOXHUNTER WAY,26/05/2022,Noted lame left hind on the day after racing.,17/06/2022
E302,GORYTUS,20/09/2022,Bled from both nostrils after barrier trial.,06/12/2022
E303,OUR CLASS ACT,14/12/2022,Substantial blood in trachea noted on post-race scoping. Lame left front leg on the day after racing.,13/01/2023
E307,THETA HEDGE,16/07/2022,Reported lame right fore after racing.,30/08/2022
E310,BIG TWO,08/06/2022,Whilst in saddling stalls sustained a laceration to right hock. Lame right hind. Withdrawn from race.,24/06/2022
,,28/12/2022,Substantial blood in trachea noted on post-race scoping.,08/02/2023
E315,SAUVESTRE,09/07/2022,Fever.,17/08/2022
,,23/10/2022,Heart irregularity noted after racing.,-
E316,STAR OF GLORY,10/04/2022,Unacceptable performance.,26/04/2022
E319,PERFECT MARYKNOLL,24/12/2022,Unacceptable performance. Substantial blood in trachea noted on post-race scoping.,12/01/2023
,,24/01/2023,Bled from left nostril after racing.,-
E321,EXCELLENT DADDY,09/10/2022,Substantial blood in trachea noted on post-race scoping.,28/10/2022
,,12/11/2022,Substantial blood in trachea noted on post-race scoping.,01/12/2022
,,28/12/2022,Substantial blood in trachea noted on post-race scoping.,13/01/2023
,,26/03/2023,"Unacceptable performance and also found to be a ""roarer"".",-
E328,COMPULSORY,26/10/2022,Substantial blood in trachea noted on post-race scoping.,09/12/2022
E330,MASTER EIGHT,24/04/2022,Elevated temperature.,25/05/2022
E335,REVE PARISIEN,01/10/2022,Unacceptable performance and lame left front leg.,11/10/2022
,,01/01/2023,Heart irregularity noted after racing.,23/03/2023
E336,CHEVAL VALIANT,02/05/2022,Reported to have sustained a small puncture wound to left hind fetlock after racing.,29/08/2022
E339,SUNNY DELIGHT,16/10/2022,Substantial blood in trachea noted on post-race scoping.,11/11/2022
,,15/02/2023,Bled from both nostrils after racing.,-
E344,SMART IDEA,24/01/2023,Bled from both nostrils after racing.,-
E346,JOLLY RULER,27/11/2022,Unacceptable performance.,06/12/2022
,,18/12/2022,Unacceptable performance.,20/01/2023
E348,HELENE ALLIBOR,28/06/2022,"Throat surgery (tieback and hobday) to correct ""roaring"" condition.",07/10/2022
,,18/12/2022,Badly unbalanced and shifted in abruptly near 1100M.,23/12/2022
,,19/02/2023,Became awkward and unbalanced in its action near 1100M. (Third occasion),16/03/2023
E352,PROUD DRAGON,08/03/2023,Substantial blood in trachea noted on post-race scoping. Also found to be lame in its left hind leg.,-
E356,LUCKY WITH YOU,08/01/2023,Substantial blood in trachea noted on post-race scoping.,27/01/2023
E362,AMIGOS GIGGLE,30/12/2022,Left fore fetlock injury.,-
E376,GENERAL WINNER,01/05/2022,Heart irregularity noted after racing.,28/06/2022
E383,MISSION BRAVO,16/04/2022,Sustained laceration to left front leg after racing.,20/09/2022
,,28/04/2022,Surgery to left fore lateral splint.,20/09/2022
,,26/10/2022,Post-race distress.,22/11/2022
,,15/03/2023,Rider concerned horse's action during racing.,28/03/2023
E384,KING OF THE COURT,21/10/2022,Lame left hind.,19/12/2022
E385,LUCKY ARCHANGEL,01/03/2023,Unacceptable performance.,23/03/2023
E386,SAVVY DELIGHT,26/04/2022,Exploratory laparotomy.,29/09/2022
,,15/01/2023,"After being loaded into the barriers, became fractious, reared and got its left front leg over the front gates for some time. Withdrawn from racing.",27/01/2023
E388,JOYFUL GENIUS,10/07/2022,Heart irregularity noted after racing.,20/09/2022
E389,PRETTY QUEEN PRAWN,10/02/2023,Lame left fore.,-
E392,WHIZZ KID,19/05/2022,Castration.,-
E394,BOYS PARTY,18/02/2023,Right fore splint bone injury.,-
E396,BRILLIANT LIFE,11/09/2022,Rider concerned with horse's action after racing. Lame right front leg.,30/09/2022
E399,REGENCY STAR,22/08/2022,Throat surgery to release epiglottic entrapment.,10/11/2022
,,04/01/2023,Sustained an abrasion to its left front leg whilst being transported to Happy Valley. Withdrawn from racing.,27/01/2023
E402,NATURAL GOLD,30/08/2022,Recurrent left front and right hind lameness. Update: Left fore fetlock bone injury.,02/03/2023
,,08/02/2023,Failed vet exam: Left front fetlock soreness.,02/03/2023
E404,CALL ME LU,21/12/2022,Unacceptable performance.,30/12/2022
,,15/01/2023,Unacceptable performance. (Second consecutive occasion),07/02/2023
E406,COBHFIELD,13/04/2022,Colic surgery.,07/09/2022
E409,GREEN LASER,04/06/2022,Lame right fore.,16/09/2022
E414,SKY FOREVER,24/01/2023,Rider concerned horse's action at the Start. Lame right front leg. Withdrawn from racing.,10/03/2023
E418,COLOURFUL PRINCE,12/02/2023,Unacceptable performance.,24/02/2023
E419,INFINITY WIN,02/06/2022,Noted lame left fore on the day after racing.,10/06/2022
,,12/07/2022,Throat surgery to correct a roaring condition (Tieback and Hobday).,27/03/2023
,,26/10/2022,Throat surgery (left arytenoidectomy).,27/03/2023
E421,NERVOUS WITNESS,25/07/2022,Colic Surgery.,16/11/2022
,,29/03/2023,Unacceptable performance.,04/04/2023
E431,CALIFORNIA CIBLE,05/12/2022,Unraced for 12 months.,07/12/2022
E434,NEVER TOO SOON,11/05/2022,Fever.,06/06/2022
E435,AWESOME TREASURE,09/11/2022,Heart irregularity noted after racing.,05/01/2023
E439,CLASSIC MOON,18/08/2022,"Surgery to correct ""roaring"" condition.",11/11/2022
E443,ENNEA FORTUNE,22/11/2022,Bled from right nostril after barrier trial.,02/02/2023
