GVKEYIID,GVKEY,IID,dsci,isin,sedol,ibtic,exchg,exchgdesc,conm,busdesc,loc,prirow,ggroup,gind,gsector,gsubind,ggroupdesc,ginddesc,gsectordesc
01659101W,16591,01W,ORD NPV,HK0000051067,6140290,@HOP,170,Hong Kong Exchanges and Clearing Ltd,HOPEWELL HOLDINGS LTD,"Hopewell Holdings Limited (""HHL""), the Hong Kong-based group, was listed on The Stock Exchange of Hong Kong in 1972.",HKG,01W,2010,201050,20,20105010,Capital Goods,Industrial Conglomerates,Industrials
01662101W,16621,01W,ORD NPV,HK0004000045,6435576,@WHH,170,Hong Kong Exchanges and Clearing Ltd,WHARF HOLDINGS LTD (THE),"Founded in 1886 with Hong Kong as its base, The Wharf (Holdings) Limited (Stock code: 0004) is the 17th company incorporated in Hong Kong and a premier company with a long history.",HKG,01W,6010,601020,60,60102010,,,
01852602W,18526,02W,ORD NPV,HK0003000038,6436557,@HKC,170,Hong Kong Exchanges and Clearing Ltd,HONG KONG & CHINA GAS CO LTD,"The Hong Kong and China Gas Company Limited, together with its subsidiaries, produces, distributes, and markets gas in Hong Kong and Mainland China.",HKG,02W,5510,551020,55,55102010,Utilities,Gas Utilities,Utilities
01864901W,18649,01W,ORD NPV,HK0010000088,6408352,@LUN,170,Hong Kong Exchanges and Clearing Ltd,HANG LUNG GROUP LTD,"Hang Lung Group Limited, an investment holding company, operates as a property developer in Hong Kong and Mainland China. The company operates through Property Leasing and Property Sales segments. It develops properties for sale and lease, such as large-scale commercial, office, and residential developments. The company also develops various properties, including shopping mall, office, residential, serviced apartments, and carparks. Its investment properties portfolio includes Grand Gateway 66, a commercial, office, and residential complex, as well as Plaza 66, a commercial and office complex in Shanghai; Palace 66 and Forum 66 in Shenyang; Parc 66 in Jinan; Center 66 in Wuxi; Riverside 66 in Tianjin; Olympia 66 in Dalian; Spring City 66 in Kunming; Heartland 66 in Wuhan; and Westlake 66. In addition, the company offers car park and property management, securities trading, financial, project management, and property agency services, as well as operates and manages apartment. Hang Lung Group Limited was incorporated in 1960 and is headquartered in Central, Hong Kong.",HKG,01W,6010,601020,60,60102020,,,
01908301W,19083,01W,ORD NPV,HK0000608585,BM94GQ4,@NWR,170,Hong Kong Exchanges and Clearing Ltd,NEW WORLD DEVELOPMENT CO LTD,"New World Development Company Limited, an investment holding company, engages in the property development and investment business in Hong Kong and internationally. Its property portfolio comprises residential, retail, office, and industrial properties.",HKG,01W,6010,601020,60,60102010,,,
01942101W,19421,01W,ORD NPV,HK0016000132,6859927,@SHK,170,Hong Kong Exchanges and Clearing Ltd,SUN HUNG KAI PROPERTIES LTD,"Sun Hung Kai Properties Limited develops and invests in properties for sale and rent in Hong Kong, Mainland China, and internationally. It develops and sells properties, including residential estates, offices, shopping malls, industrial buildings, and hotels and serviced suites.",HKG,01W,6010,601020,60,60102010,,,
01962601W,19626,01W,ORD NPV,HK0000139300,B87ZDH1,@TVK,170,Hong Kong Exchanges and Clearing Ltd,TELEVISION BROADCASTS LTD,"Television Broadcasts Limited, together with its subsidiaries, engages in terrestrial television broadcasting, program production, and other television-related activities. It operates through Hong Kong TV Broadcasting, myTV SUPER, Big Big Channel and E-Commerce Business, Programme Licensing and Distribution, Overseas pay TV and TVB Anywhere, and Other Activities segments. The Hong Kong TV Broadcasting segment is involved in the broadcasting of television programs and commercials on terrestrial TV platforms; production of programs; and co-production of dramas. The myTV SUPER segment provides over-the-top services; and operates website portals. The Big Big Channel and E-Commerce Business segment operates an online social media and e-commerce platform; and provides music entertainment, event, and digital marketing services. The Programme Licensing and Distribution segment distributes television programs and channels to telecast, video, and media operators. The Overseas pay TV and TVB Anywhere segment offers pay television and OTT services to subscribers. The Other Activities segment engages in property investment and other activities. The company also offers agency services on design, production, and exhibition of advertisements; film rights and program licensing; provides consultancy, management, and agency services to artistes; and produces, publishes, and licenses musical works and sells sound recordings, as well as offers corporate finance services. In addition, it produces motion pictures for theatrical release and distribution; provides satellite and subscription television programs; and licenses and distributes films. Further, the company engages in production of programs and provision of marketing materials; and provision of programming and channel services. It operates in Hong Kong, Mainland China, Malaysia, Singapore, the United States, Canada, Vietnam, Australia, Europe, and internationally.",HKG,01W,5020,502010,50,50201020,,,Telecommunication Services
02053001W,20530,01W,ORD USD.000003125 (HKG LIST),KYG017191142,BK6YZP5,@9988,170,Hong Kong Exchanges and Clearing Ltd,ALIBABA GROUP HLDG,"Alibaba Group Holding Limited, through its subsidiaries, provides technology infrastructure and marketing reach to merchants, brands, retailers, and other businesses to engage with their users and customers in the People's Republic of China and internationally.",CHN,01W,2550,255020,25,25502020,Retailing,Internet & Catalog Retail,Consumer Discretionary
02138301W,21383,01W,ORD NPV,HK0101000591,6030506,@AMN,170,Hong Kong Exchanges and Clearing Ltd,HANG LUNG PROPERTIES LTD,"Hang Lung Properties Limited, an investment holding company, engages in the property investment, development, and management activities in Hong Kong and Mainland China. The company operates through Property Leasing and Property Sales segments.",HKG,01W,6010,601020,60,60102010,,,
02401603W,24016,03W,ORD HKD.1,BMG2108M2182,6191180,@CE2,170,Hong Kong Exchanges and Clearing Ltd,CHINESE ESTATES HOLDINGS LTD,"Chinese Estates Group (the ""Group"") is one of the leading property developers in Hong Kong. Chinese Estates Holdings Limited is the holding company of the Group and it is publicly listed on The Stock Exchange of Hong Kong Limited with stock code: 127. Chinese Estates' core businesses comprise of property investment for rental and property development for sale. The Group focuses primarily in Hong Kong, and diversifies its property interests to mainland China and the United Kingdom. The Group's investment properties include retail and office assets. Most of the investment properties of Chinese Estates are highly accessible and strategically located in prime commercial areas in Hong Kong such as Causeway Bay and Wanchai. In mainland China, Chinese Estates owns a five-star international hotel in Beijing. In the United Kingdom, Chinese Estates owns four investment properties in London. Over the past twenty years, Chinese Estates has built a reputation for conceptualising and implementing redevelopment, renovation works and repackaging programmes to enhance the value and revenue of its investment properties. Chinese Estates specializes in developing mid to high-end commercial and residential property projects. A number of quality and cosmopolitan residential properties are developed for sale.",HKG,03W,6010,601020,60,60102010,,,
02579101W,25791,01W,ORD USD.01,BMG1368B1028,6181482,@0CA,170,Hong Kong Exchanges and Clearing Ltd,BRILLIANCE CHINA AUTOMOTIVE,"Brilliance China Automotive Holdings Limited, an investment holding company, manufactures and sells BMW vehicles and automotive components in the People's Republic of China and internationally.",HKG,01W,2510,251020,25,25102010,Automobiles & Components,Automobiles,Consumer Discretionary
02865301W,28653,01W,CL H ORD CNY1,CNE1000004C8,6797458,@SJ1,170,Hong Kong Exchanges and Clearing Ltd,SINOPEC SHANGHAI PETROCHEM,"Sinopec Shanghai Petrochemical Company Limited, together with its subsidiaries, manufactures and sells petrochemical products in the People's Republic of China.",CHN,01W,1510,151010,15,15101010,Materials,Chemicals,Materials
02878401W,28784,01W,ORD HKD.1,BMG3155U1374,BXR1PF6,@GWL,170,Hong Kong Exchanges and Clearing Ltd,EPI (HOLDINGS) LTD,"EPI (Holdings) Limited, an investment holding company, engages in the exploration and production of petroleum in Argentina, Hong Kong, and the People's Republic of China.",HKG,01W,1010,101020,10,10102020,Energy,"Oil, Gas & Consumable Fuels",Energy
03074701W,30747,01W,CL H ORD CNY1,CNE1000006Z4,6099671,@HUQ,170,Hong Kong Exchanges and Clearing Ltd,HUANENG POWER INTERNATIONAL,"Huaneng Power International, Inc., together with its subsidiaries, generates and sells electricity and heat to the regional or provincial grid companies in the People's Republic of China and internationally.",CHN,01W,5510,551050,55,55105010,Utilities,Independent Power and Renewable Electricity Producers,Utilities
03164801W,31648,01W,ORD NPV,HK2388011192,6536112,@4BK,170,Hong Kong Exchanges and Clearing Ltd,BOC HONG KONG HOLDINGS LTD,"BOC Hong Kong (Holdings) Limited, an investment holding company, provides banking and related financial services to corporate and individual customers in Hong Kong, Mainland China, and internationally.",HKG,01W,4010,401010,40,40101010,Banks,Banks,Financials
06284401W,62844,01W,CL H ORD CNY1,CNE100000379,6388700,@GQD,170,Hong Kong Exchanges and Clearing Ltd,GUANGSHEN RAILWAY CO LTD,Guangshen Railway Company Limited engages in the railway passenger and freight transportation business in the People's Republic of China.,CHN,01W,2030,203040,20,20304010,Transportation,Road & Rail,Industrials
06306401W,63064,01W,ORD HKD.10,BMG0534R1088,6052607,@AWQ,170,Hong Kong Exchanges and Clearing Ltd,ASIA SATELLITE TELECOM LTD,"Asia Satellite Telecommunications Holdings Limited, an investment holding company, provides satellite services to the broadcasting and telecommunications markets in the Asia Pacific and internationally.",HKG,01W,5010,501010,50,50101010,Telecommunication Services,Diversified Telecommunication Services,Telecommunication Services
06415901W,64159,01W,ORD HKD.10,BMG0438M1064,6039644,@9AT,170,Hong Kong Exchanges and Clearing Ltd,APT SATELLITE HLDGS LTD,"APT Satellite Holdings Limited, an investment holding company, maintains, operates, and provides satellite transponder capacity and related services, satellite-based broadcasting and telecommunications services, and other services.",HKG,01W,5010,501010,50,50101010,Telecommunication Services,Diversified Telecommunication Services,Telecommunication Services
06433601W,64336,01W,CL H ORD CNY1,CNE1000002K5,6171375,@9CY,170,Hong Kong Exchanges and Clearing Ltd,CHINA EASTERN AIRLINES CORP,"China Eastern Airlines Corporation Limited, together with its subsidiaries, operates in the civil aviation industry in the People's Republic of China, Hong Kong, Macau, Taiwan, and internationally.",CHN,01W,2030,203020,20,20302010,Transportation,Airlines,Industrials
06566201W,65662,01W,ORD NPV,HK0941009539,6073556,@5CN,170,Hong Kong Exchanges and Clearing Ltd,CHINA MOBILE LTD,"China Mobile Limited provides telecommunications services in Mainland China and Hong Kong. Its businesses primarily consist of mobile voice and data business, wireline broadband, and other information and communications services.",HKG,01W,5010,501020,50,50102010,Telecommunication Services,Wireless Telecommunication Services,Telecommunication Services
10054001W,100540,01W,ORD HKD1,BMG8465C1073,6864448,@STX,170,Hong Kong Exchanges and Clearing Ltd,STELUX HOLDINGS INTERNL LTD,"Stelux Holdings International Limited, an investment holding company, engages in the retail of watches under the City Chain brand name. It is also involved in the wholesale of clocks and watches, including the Seiko and Grand Seiko brands; watch supply chain management; and manufacture of watch movement related to its house brands, such as Solvil et Titus and CYMA, as well as operates online stores under City Chain and Solvil et Titus brands. In addition, the company engages in the property investment, management, and agency services; and trademark holding and licensing services. It operates in Hong Kong, Macau, Mainland china, Europe, and rest of Asia. The company was founded in 1963 and is based in San Po Kong, Hong Kong.",HKG,01W,2550,255040,25,25504040,Retailing,Specialty Retail,Consumer Discretionary
10056201W,100562,01W,ORD NPV,HK0019000162,6867748,@SWP,170,Hong Kong Exchanges and Clearing Ltd,SWIRE PACIFIC LTD,"Swire Pacific Limited engages in property, aviation, beverages, marine services, and trading and industrial businesses in Hong Kong, Mainland China, rest of Asia, the United States, and internationally. Its Property division develops, owns, and operates mixed-use properties.",HKG,01W,6010,601020,60,60102010,,,
10064801W,100648,01W,ORD NPV,HK0045000319,6436386,@HKH,170,Hong Kong Exchanges and Clearing Ltd,HONGKONG & SHANGHAI HOTELS,"The Hongkong and Shanghai Hotels, Limited, an investment holding company, engages in the ownership, development, and management of hotels, and commercial and residential properties in Asia, the United States, and Europe. It operates through three divisions: Hotels, Commercial Properties, and Clubs and Services. The Hotels division is involved in the operation of hotels; and leasing of commercial shopping arcades and office premises located within the hotel buildings. The Commercial Properties division engages in the development, lease, and sale of residential apartments; and lease of retail and office premises, as well as operation of food and beverage outlets in such premises. The Clubs and Services division operates golf courses, as well as The Peak Tram, a tramway; wholesales and retails food and beverage products; and offers laundry, and management and consultancy services for clubs. The company is also involved in the wholesale and retail of merchandise; provision of dry cleaning, and marketing services; lending and borrowing of funds; and operates golf club and resort, and property investment activities. In addition, it offers tourism, leisure, and other services; and operates Peninsula Boutiques. The company was formerly known as The Hongkong Hotel Company, Limited. The Hongkong and Shanghai Hotels, Limited was incorporated in 1866 and is headquartered in Central, Hong Kong.",HKG,01W,2530,253010,25,25301020,Consumer Services,"Hotels, Restaurants & Leisure",Consumer Discretionary
10065201W,100652,01W,ORD NPV,HK0026000205,6190897,@CM,170,Hong Kong Exchanges and Clearing Ltd,CHINA MOTOR BUS CO LTD,"China Motor Bus Company, Limited, together with its subsidiaries, engages in the property development and investment activities in Hong Kong and the United Kingdom. The company is involved in the development, construction, sale, and marketing of the group's trading properties; and property leasing activities. Its properties portfolio consists of retail, office, and apartments. The company is based in North Point, Hong Kong.",HKG,01W,6010,601020,60,60102010,,,
10066501W,100665,01W,ORD NPV,HK0002007356,6097017,@CLA,170,Hong Kong Exchanges and Clearing Ltd,CLP HOLDINGS LTD,"CLP Holdings Limited, an investment holding company, engages in the generation, transmission, and distribution of electricity in Hong Kong, Mainland China, India, Southeast Asia, Taiwan, and Australia.",HKG,01W,5510,551010,55,55101010,Utilities,Electric Utilities,Utilities
10108801W,101088,01W,ORD HKD1,KYG217651051,BW9P816,@CHK,170,Hong Kong Exchanges and Clearing Ltd,CK HUTCHISON HOLDINGS LTD,"CK Hutchison Holdings Limited, an investment holding company, operates in ports and related services, retail, infrastructure, energy, and telecommunications businesses worldwide.",HKG,01W,2010,201050,20,20105010,Capital Goods,Industrial Conglomerates,Industrials
10110201W,101102,01W,ORD NPV,HK0051000351,6408954,@HCD,170,Hong Kong Exchanges and Clearing Ltd,HARBOUR CENTRE DEVELPMNT LTD,"Harbour Centre Development Limited, an investment holding company, engages in the hotel ownership, and property investment and development activities in Hong Kong, Mainland China, and internationally. It engages in the acquisition, development, and sale of trading properties, as well as invests in and leases residential, retail, office, and hotel properties. The company also operates The Murray hotel with 336 suites and guestrooms; Marco Polo Hongkong Hotel with 665 guestrooms and suites; Marco Polo Changzhou hotel with 271 rooms and suites; and Niccolo Suzhou, a 233-room luxury hotel. In addition, it provides finance and bank deposit services. The company is based in Kowloon, Hong Kong.",HKG,01W,6010,601020,60,60102030,,,
10110301W,101103,01W,ORD HKD1,BMG9031M1082,6081162,@KOM,170,Hong Kong Exchanges and Clearing Ltd,TRANSPORT INTL HLDGS LTD,"Transport International Holdings Limited, an investment holding company, provides franchised and non-franchised public transportation services in the People's Republic of China. The company operates through Franchised Bus Operation; Property Holdings and Development; and All Other Segments. The Franchised Bus Operation segment provides franchised public bus transportation services in Hong Kong. The Property Holdings and Development segment holds and develops non-residential properties. The All Other Segments segment provides non-franchised public transportation services; and cross-boundary shuttle bus services. It also offers non-franchised bus services to the residential and commercial sectors through chartered hire services; and car rental and taxi hire services, as well as trades in bus souvenirs and face masks. The company was formerly known as The Kowloon Motor Bus Holdings Limited and changed its name to Transport International Holdings Limited in November 2005. Transport International Holdings Limited was founded in 1997 and is headquartered in Kowloon, Hong Kong.",HKG,01W,2030,203040,20,20304020,Transportation,Road & Rail,Industrials
10119301W,101193,01W,ORD NPV,HK0044000302,6435264,@HKA,170,Hong Kong Exchanges and Clearing Ltd,HONG KONG AIRCRAFT ENGIN CO,"Hong Kong Aircraft Engineering Company Limited provides commercial aircraft overhaul, modification, and maintenance services to airlines in Hong Kong, Mainland China, and the United States. The company offers airframe services, such as airframe maintenance, cabin reconfiguration, avionics and structural modification, winglet modification, lease return check, engine, technical, support shop, quality assurance, and material management services, as well as installation and upgrade services of in-flight entertainment systems; and line maintenance services consisting of transit check and certification, ramp, engine, AOG, and aircraft interior enhancement services. It also offers cabin solutions for commercial aircraft and private jets comprising design engineering, reconfiguration, certification, vendor management, installation, cabin optimization, and program management services, as well as cabin interior products, including seats, lavatories, and galleys. In addition, the company provides repair, overhaul, and preventative maintenance services for aircraft components; inventory management, component engineering and repair management, and AOG support services; landing gear overhaul services; and fleet technical management services, such as technical and asset management, and fleet technical supports services. Further, it offers private jets cabin completion services; freighter conversion services; a range of design, fabrication, and testing services for airframe parts and spares; training and examination services; and support services to airlines and aircraft operators. The company was founded in 1950 and is based in Lantau, Hong Kong. Hong Kong Aircraft Engineering Company Limited is a subsidiary of Swire Pacific Limited.",HKG,01W,2030,203050,20,20305010,Transportation,Transportation Infrastructure,Industrials
10119401W,101194,01W,ORD NPV,HK0236001209,6773179,@SMB,170,Hong Kong Exchanges and Clearing Ltd,SAN MIGUEL BREWERY HONG KONG,"San Miguel Brewery Hong Kong Limited, together with its subsidiaries, manufactures and distributes bottled, canned, and draught beers under the San Miguel Pale Pilsen brand in Hong Kong, Mainland China, the Philippines, and internationally. It also sells beers under the San Miguel Pale Pilsen, San Mig Light, Dragon Beer, Red Horse, Guang's Pineapple Beer, etc. The company was founded in 1948 and is based in Shatin, Hong Kong. San Miguel Brewery Hong Kong Limited is a subsidiary of Neptunia Corporation Limited.",HKG,01W,3020,302010,30,30201010,Food Beverage & Tobacco,Beverages,Consumer Staples
10121701W,101217,01W,ORD HKD.1,BMG7475M1626,6730204,@REH,170,Hong Kong Exchanges and Clearing Ltd,REGAL HOTELS INTERNATNL HLDG,"Regal Hotels International Holdings Limited, an investment holding company, owns, operates, and manages hotels in Hong Kong, Mainland China, and internationally. It operates through six segments: Hotel Operation and Management and Hotel Ownership; Asset Management; Property Development and Investment; Financial Assets Investments; Aircraft Ownership and Leasing; and Others. The company is also involved in the provision of hotel management services; and ownership of hotel properties for rental income. In addition, it invests in, develops, sells, and rents properties, as well as offers property agency and management services. Further, the company is involved in the development and distribution of multimedia entertainment and digital educational content, and multi-platform social games; operation and management of restaurants; operation of security storage lounge; provision of housekeeping services; security and guarding services; room reservation services; and sale of food products, as well as securities trading and investment, and aircraft ownership and leasing activities. Additionally, it offers nominee, financing, and contracting agency; and asset management services. The company is headquartered in Causeway Bay, Hong Kong. Regal Hotels International Holdings Limited is a subsidiary of Century City International Holdings Limited.",HKG,01W,2530,253010,25,25301020,Consumer Services,"Hotels, Restaurants & Leisure",Consumer Discretionary
10157101W,101571,01W,ORD NPV,HK0020000177,6981488,@WOI,170,Hong Kong Exchanges and Clearing Ltd,WHEELOCK & CO LTD,Wheelock and Company Limited (HKSE: 00020) is a listed property group headquartered in Hong Kong. We are principally engaged in property development in Hong Kong.,HKG,01W,6010,601020,60,60102010,,,
10157201W,101572,01W,ORD NPV,HK0071000456,6596451,@MRM,170,Hong Kong Exchanges and Clearing Ltd,MIRAMAR HOTEL & INVST CO LTD,"Miramar Hotel and Investment Company, Limited, an investment holding company, engages in property rental, hotels and serviced apartments, food and beverage, and travel businesses in Hong Kong and Mainland China. The company operates through five segments: Property Rental, Hotels and Serviced Apartments, Food and Beverage Operation, Travel Operation, and Others. It leases office and retail premises; and operates hotels and serviced apartments, as well as provides hotel management services. The company also operates restaurants; offers travel agency, property management, and financial services; and sells properties. Miramar Hotel and Investment Company, Limited was founded in 1948 and is based in Tsim Sha Tsui, Hong Kong.",HKG,01W,2530,253010,25,25301020,Consumer Services,"Hotels, Restaurants & Leisure",Consumer Discretionary
10178402W,101784,02W,ORD NPV,HK0013000119,6448068,@HWH,170,Hong Kong Exchanges and Clearing Ltd,HUTCHISON WHAMPOA LTD,"Hutchison Whampoa Limited, an investment holding company, operates in ports and related services, property and hotels, retail, infrastructure, energy, and mobile telecommunications businesses worldwide. The company engages in the development and operation of ports and container terminals.",HKG,02W,2010,201050,20,20105010,Capital Goods,Industrial Conglomerates,Industrials
10180701W,101807,01W,ORD NPV,HK0000356805,BF99WX9,@LG,170,Hong Kong Exchanges and Clearing Ltd,LAI SUN GARMENT (INTL) LTD,"Lai Sun Garment (International) Limited, an investment holding company, invests in, develops, leases, manages, and sells properties. The company operates through Property Development and Sales, Property Investment, Hotel Operation, Restaurant Operation, Media and Entertainment, Film and TV Program, Cinema Operation, Theme Park Operation, and Others segments. Its property portfolio includes commercial/retail, office, industrial, residential, and hotel/serviced apartment properties. The company also invests in, develops, operates, and manages hotels and restaurants, cultural, leisure, entertainment, and related facilities; and provides management and consultancy services to hotels, restaurants, and serviced apartments. In addition, it engages in the development, operation, and investment of media, entertainment, and music production and distribution; and cinema operations, as well as provides related advertising services. Further, the company invests in, produces, sells, licenses, and distributes television programs, films, and video format products, as well as engages in golf apparel retailing. Additionally, the company offers property management, real estate agency, performance agency, leasing agency, and building services; luxury yachts brokerage, charter, marketing, management, and crew placement services; and finance and treasury services. It also provides artiste management services; sells albums; distributes and licenses music; trades in gaming products; and develops and operates theme parks. The company is involved in the film library management, central kitchen operation, and video duplication services, as well as translating and subtitling of television programs. It operates in Hong Kong, the United Kingdom, Vietnam, Mainland China, Macau, and internationally. Lai Sun Garment (International) Limited was founded in 1947 and is headquartered in Central, Hong Kong.",HKG,01W,6010,601020,60,60102020,,,
10181202W,101812,02W,ORD HKD1,BMG2889K1678,6290117,@GOD,170,Hong Kong Exchanges and Clearing Ltd,DYNAMIC HOLDINGS LTD,"Dynamic Holdings Limited, an investment holding company, engages in the investment and development of properties in the People's Republic of China and Hong Kong. The company operates through Property Rental and Property Sales segments. Its investment properties portfolio primarily comprises offices, shopping malls, and car parks, as well as residential properties. Dynamic Holdings Limited company also leases and sells properties. In addition, it is involved in the provision of nominee, management, financing, and management consultancy services. Dynamic Holdings Limited was founded in 1992 and is based in Causeway Bay, Hong Kong.",HKG,02W,6010,601020,60,60102010,,,
